0,1,2,3,4,5,6,7,8,9
المساحة,"السعر
 ",عدد العقارات,تصنيف العقار,تاريخ الصفقة هجري,"تاريخ الصفقة ميلادي
 ",الرقم المرجعي للصفقة,المدينة/الحي,المدينة,المنطقة
"2,147,000.00","250,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,346,185",الطائف/ سيسد,الطائف,منطقة مكة المكرمه
"4,365.67","20,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,360,233",جده/ البغدادية,جده,منطقة مكة المكرمه
"973,740.00","18,000,000.00",1,زراعي,1445/10/14,2024/04/23,"23,346,326",الخرج/أخرى,الخرج,منطقة الرياض
"1,912.50","16,500,000.00",1,سكني,1445/10/14,2024/04/23,"23,353,033",جده/العزيزية,جده,منطقة مكة المكرمه
989.62,"14,700,000.00",1,سكني,1445/10/14,2024/04/23,"23,360,326",الرياض/النخيل,الرياض,منطقة الرياض
"143,637.48","14,363,748.00",1,تجاري,1445/10/14,2024/04/23,"23,345,391",الرياض/السلى,الرياض,منطقة الرياض
"662,466.80","12,015,501.00",1,تجاري,1445/10/14,2024/04/23,"23,266,218",الرياض/الرمال,الرياض,منطقة الرياض
"13,836.44","11,760,974.00",1,تجاري,1445/10/14,2024/04/23,"23,353,341",الرياض/طريق الخرج,الرياض,منطقة الرياض
"1,264.96","10,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,353,472",جده/ درة العروس,جده,منطقة مكة المكرمه
"2,134.40","7,619,808.00",4,سكني,1445/10/14,2024/04/23,"23,359,391",الخبر/ 6 2,الخبر,منطقة الشرقية
"5,842.00","6,134,100.00",4,تجاري,1445/10/14,2024/04/23,"23,354,289",جده/ السرورية,جده,منطقة مكة المكرمه
424.50,"5,750,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,889",الرياض/الملقا,الرياض,منطقة الرياض
625.00,"5,700,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,230",الرياض/النخيل,الرياض,منطقة الرياض
500.11,"5,250,000.00",1,سكني,1445/10/14,2024/04/23,"23,357,866",الدرعيه/ العاصمه,الدرعيه,منطقة الرياض
"5,000.00","5,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,347,142",الرياض/المصفاة,الرياض,منطقة الرياض
900.00,"4,900,000.00",1,تجاري,1445/10/14,2024/04/23,"23,346,562",الرياض/لبن,الرياض,منطقة الرياض
331.39,"4,750,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,273",الرياض/النرجس,الرياض,منطقة الرياض
580.00,"4,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,326",الرياض/الصحافة,الرياض,منطقة الرياض
900.00,"4,000,000.00",1,تجاري,1445/10/14,2024/04/23,"23,335,046",الرياض/لبن,الرياض,منطقة الرياض
249.75,"4,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,348,111",جده/ المرجان,جده,منطقة مكة المكرمه
المساحة,"السعر
 ",عدد العقارات,تصنيف العقار,تاريخ الصفقة هجري,"تاريخ الصفقة ميلادي
 ",الرقم المرجعي للصفقة,المدينة/الحي,المدينة,المنطقة
900.00,"4,900,000.00",1,تجاري,1445/10/14,2024/04/23,"23,346,562",الرياض/لبن,الرياض,منطقة الرياض
331.39,"4,750,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,273",الرياض/النرجس,الرياض,منطقة الرياض
580.00,"4,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,326",الرياض/الصحافة,الرياض,منطقة الرياض
900.00,"4,000,000.00",1,تجاري,1445/10/14,2024/04/23,"23,335,046",الرياض/لبن,الرياض,منطقة الرياض
249.75,"4,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,348,111",جده/ المرجان,جده,منطقة مكة المكرمه
254.33,"4,000,000.00",1,سكني,1445/10/14,2024/04/23,"23,338,937",مكة المكرمة/أخرى,مكة المكرمة,منطقة مكة المكرمه
686.00,"3,950,000.00",2,سكني,1445/10/14,2024/04/23,"23,351,229",الرياض/السليمانية,الرياض,منطقة الرياض
"4,504.46","3,828,791.00",1,تجاري,1445/10/14,2024/04/23,"23,353,474",الرياض/طريق الخرج,الرياض,منطقة الرياض
574.10,"3,559,420.00",1,سكني,1445/10/14,2024/04/23,"23,350,265",الرياض/العارض,الرياض,منطقة الرياض
476.00,"3,400,000.00",1,سكني,1445/10/14,2024/04/23,"23,359,236",الرياض/الياسمين,الرياض,منطقة الرياض
